station_code,lat,lon,elev,dist_km
AM.R3C0B,27.675675675675677,85.28105960120926,1667.0,76.87991279925713
AM.RD7E6,28.33333333333333,83.60767123393958,1770.0,109.94569161622792
AM.RBBE5,27.64864864864865,85.29237856033401,1348.0,79.75042312697151
AM.R3E21,27.675675675675677,85.27244783416016,1310.0,76.26002209072988
AM.S2D97,28.06306306306306,83.25088715847782,1537.0,143.48608646542854
AM.R1F7C,27.64864864864865,85.32491985507649,1500.0,82.09173013121816
AM.R2C6D,28.1981981981982,84.73599152497799,1885.0,6.304726451828612
AM.R9D38,28.0,84.9937704706279,1493.0,32.47185959093216
AM.R51F6,27.64864864864865,84.12952169744807,189.0,79.33236328898525
AM.R023E,28.234234234234233,83.41675087634256,1320.0,127.1529003877128
AM.R7173,28.234234234234233,83.92201362132175,787.0,77.77762824402062
AM.R8C46,27.6036036036036,84.60611443790143,216.0,61.047904858339486
AM.RBB7B,28.405405405405407,83.38576099656471,1015.0,132.84728602786063
AM.R61FA,27.74774774774775,85.37762458039771,1405.0,79.37266121955977
AM.R0BD5,28.18018018018018,83.60427306784,785.0,108.4622194756972
AM.R3B1E,27.82882882882883,85.86904823168064,855.0,119.53358363491965
AM.RFCB2,28.675675675675677,82.29375273058949,830.0,243.70450008488515
AM.R02C2,27.62162162162162,85.32014828487256,1429.0,83.80258981602421
AM.RC0D5,28.324324324324323,83.95881876905752,1225.0,76.11052800299677
AM.R1E1E,27.72972972972973,85.30816586445795,1400.0,75.01417918083986
AM.RD14A,27.675675675675677,83.45150679994823,156.0,134.26662374036502
AM.R732B,28.20720720720721,83.67122372687685,847.0,102.0301181417415
AM.RBCBE,27.64864864864865,85.3254661376827,1328.0,82.13153148716795
AM.RBE19,27.64864864864865,85.29237856033401,1348.0,79.75042312697151
AM.RB628,28.405405405405407,83.38615464113728,1088.0,132.8095744759172
AM.R2E9D,27.64864864864865,85.29237856033401,1348.0,79.75042312697151
AM.R1AA8,28.675675675675677,82.29375273058949,811.0,243.70450008488515
AM.R8328,28.324324324324323,83.95850273112964,1225.0,76.1404946758989
AM.R9445,28.01801801801802,85.51989441500706,2518.0,81.0684500967961
AM.RF015,27.65765765765766,85.25025791128336,1443.0,76.09625424489086
AM.RDF62,27.64864864864865,85.29237856033401,1348.0,79.75042312697151
AM.R5A68,27.684684684684683,86.72547181009955,2867.0,205.09508764534854
AM.R8618,28.1981981981982,84.38905149319935,747.0,31.83198452190846
AM.RCCCC,28.036036036036037,82.87057100302451,668.0,180.9964810872409
AM.RC951,27.93693693693694,83.67320496807548,748.0,104.37367954596574
AM.RDD5D,27.69369369369369,86.72014335890827,2692.0,204.33161904030206
AM.REB4C,27.64864864864865,85.29245656112563,1348.0,79.75596349430722
AM.R2109,27.0,84.99346264463456,1500.0,130.19016270963425
AM.R0920,27.64864864864865,85.29245656112563,1348.0,79.75596349430722
AM.R4051,27.64864864864865,85.29245656112563,1348.0,79.75596349430722
AM.RE2F2,27.57657657657658,84.48633424283304,170.0,66.87634532433846
AM.R038D,28.36936936936937,83.0520694515977,1429.0,164.347260322944
AM.REBA8,27.675675675675677,85.27244783416016,1310.0,76.26002209072988
AM.S8618,28.1981981981982,84.38905149319935,747.0,31.83198452190846
AM.RA922,27.855855855855857,83.92517349670975,383.0,83.4855474650905
AM.R0F23,28.045045045045047,84.07237054252379,516.0,63.47972932664225
AM.RE3BA,27.64864864864865,85.29245656112563,1348.0,79.75596349430722
AM.RE93F,28.774774774774773,83.7329845786443,2650.0,118.14956293259982
AM.R2D97,28.06306306306306,83.25088715847782,1537.0,143.48608646542854
AM.R68E5,27.64864864864865,85.29237856033401,1348.0,79.75042312697151
AM.R0C4C,27.64864864864865,85.29245656112563,1348.0,79.75596349430722
AM.RED3D,28.57657657657658,81.6244797041549,674.0,305.99840004290155
AM.R0638,27.69369369369369,85.31445249654107,1290.0,78.01946208250295
AM.RF542,27.64864864864865,85.29237856033401,1348.0,79.75042312697151
AM.R9299,28.35135135135135,84.09866182560252,1890.0,63.94196271527178
AM.R263A,27.64864864864865,85.32538809610237,3128.0,82.12584451566914
AM.R14FA,28.0,84.9937704706279,2134.0,32.47185959093216
AM.RA5AB,28.0,84.62253037623806,1121.0,18.329362111873422
AM.RD184,28.02702702702703,84.77715102096576,888.0,14.931874908206764
AM.R3C3F,28.84684684684685,82.47308188720152,1604.0,232.1486204089293
AM.R2AE2,27.864864864864863,83.54596881891413,1332.0,118.49210339932664
AM.RFA80,27.684684684684683,85.3219697047238,1400.0,79.230836460536
AM.R0CEA,28.234234234234233,83.92201362132175,787.0,77.77762824402062
AM.RE497,27.66666666666667,85.29937557965086,1278.0,78.88451407943904
AM.R43A3,27.97297297297297,83.11902933930249,670.0,157.3923057050067
AM.RD372,27.684684684684683,85.2878533641701,1329.0,76.69983765281434
AM.R20CE,27.64864864864865,85.29237856033401,1348.0,79.75042312697151
AM.R6EC4,27.7027027027027,84.38565253165018,192.0,58.57393973571702
AM.R3005,27.78378378378378,85.2529700262167,1365.0,67.0476784212079
AM.R3DBE,28.38738738738739,81.29130265167653,164.0,336.28541974924525
AM.R6F10,27.684684684684683,85.32972119352813,1321.0,79.81440953731229
AM.R6F2E,27.684684684684683,85.28002256255922,1301.0,76.12792344961991
