station_code,lat,lon,elev,dist_km
AM.R3C0B,27.675675675675677,85.28105960120926,1667.0,106.32584084806886
AM.RD7E6,28.33333333333333,83.60767123393958,1770.0,78.4379353035445
AM.RBBE5,27.64864864864865,85.29237856033401,1348.0,108.9871768872501
AM.R3E21,27.675675675675677,85.27244783416016,1310.0,105.6347874130703
AM.S2D97,28.06306306306306,83.25088715847782,1537.0,114.22186653545518
AM.R1F7C,27.64864864864865,85.32491985507649,1500.0,111.58824709399534
AM.R2C6D,28.1981981981982,84.73599152497799,1885.0,33.30823461511214
AM.R9D38,28.0,84.9937704706279,1493.0,63.76691972116069
AM.R51F6,27.64864864864865,84.12952169744807,189.0,69.56908952640133
AM.R023E,28.234234234234233,83.41675087634256,1320.0,96.36067326411808
AM.R7173,28.234234234234233,83.92201362132175,787.0,46.77074883748054
AM.R8C46,27.6036036036036,84.60611443790143,216.0,72.27694256088095
AM.RBB7B,28.405405405405407,83.38576099656471,1015.0,101.22273968959936
AM.R61FA,27.74774774774775,85.37762458039771,1405.0,110.10823690573832
AM.R0BD5,28.18018018018018,83.60427306784,785.0,78.16239946799692
AM.R3B1E,27.82882882882883,85.86904823168064,855.0,151.25945380380085
AM.RFCB2,28.675675675675677,82.29375273058949,830.0,212.0073472892281
AM.R02C2,27.62162162162162,85.32014828487256,1429.0,112.972995739721
AM.RC0D5,28.324324324324323,83.95881876905752,1225.0,44.406320683307726
AM.R1E1E,27.72972972972973,85.30816586445795,1400.0,105.22667752370938
AM.RD14A,27.675675675675677,83.45150679994823,156.0,111.5647763006945
AM.R732B,28.20720720720721,83.67122372687685,847.0,71.4331194839206
AM.RBCBE,27.64864864864865,85.3254661376827,1328.0,111.63217909127876
AM.RBE19,27.64864864864865,85.29237856033401,1348.0,108.9871768872501
AM.RB628,28.405405405405407,83.38615464113728,1088.0,101.1848599453093
AM.R2E9D,27.64864864864865,85.29237856033401,1348.0,108.9871768872501
AM.R1AA8,28.675675675675677,82.29375273058949,811.0,212.0073472892281
AM.R8328,28.324324324324323,83.95850273112964,1225.0,44.43644112522574
AM.R9445,28.01801801801802,85.51989441500706,2518.0,112.6340744576618
AM.RF015,27.65765765765766,85.25025791128336,1443.0,105.0618884062998
AM.RDF62,27.64864864864865,85.29237856033401,1348.0,108.9871768872501
AM.R5A68,27.684684684684683,86.72547181009955,2867.0,236.7889593780197
AM.R8618,28.1981981981982,84.38905149319935,747.0,3.5587102539403577
AM.RCCCC,28.036036036036037,82.87057100302451,668.0,151.6231800434376
AM.RC951,27.93693693693694,83.67320496807548,748.0,78.29928818974012
AM.RDD5D,27.69369369369369,86.72014335890827,2692.0,236.01989776045443
AM.REB4C,27.64864864864865,85.29245656112563,1348.0,108.9933733044566
AM.R2109,27.0,84.99346264463456,1500.0,148.33212057531048
AM.R0920,27.64864864864865,85.29245656112563,1348.0,108.9933733044566
AM.R4051,27.64864864864865,85.29245656112563,1348.0,108.9933733044566
AM.RE2F2,27.57657657657658,84.48633424283304,170.0,72.83746684402931
AM.R038D,28.36936936936937,83.0520694515977,1429.0,132.9794076284201
AM.REBA8,27.675675675675677,85.27244783416016,1310.0,105.6347874130703
AM.S8618,28.1981981981982,84.38905149319935,747.0,3.5587102539403577
AM.RA922,27.855855855855857,83.92517349670975,383.0,62.270960291944554
AM.R0F23,28.045045045045047,84.07237054252379,516.0,37.985951945716316
AM.RE3BA,27.64864864864865,85.29245656112563,1348.0,108.9933733044566
AM.RE93F,28.774774774774773,83.7329845786443,2650.0,88.88841231101684
AM.R2D97,28.06306306306306,83.25088715847782,1537.0,114.22186653545518
AM.R68E5,27.64864864864865,85.29237856033401,1348.0,108.9871768872501
AM.R0C4C,27.64864864864865,85.29245656112563,1348.0,108.9933733044566
AM.RED3D,28.57657657657658,81.6244797041549,674.0,274.54212243030076
AM.R0638,27.69369369369369,85.31445249654107,1290.0,107.90937416642932
AM.RF542,27.64864864864865,85.29237856033401,1348.0,108.9871768872501
AM.R9299,28.35135135135135,84.09866182560252,1890.0,32.378947943134015
AM.R263A,27.64864864864865,85.32538809610237,3128.0,111.62590246776303
AM.R14FA,28.0,84.9937704706279,2134.0,63.76691972116069
AM.RA5AB,28.0,84.62253037623806,1121.0,33.61144859599082
AM.RD184,28.02702702702703,84.77715102096576,888.0,43.42667401687569
AM.R3C3F,28.84684684684685,82.47308188720152,1604.0,200.48320864437875
AM.R2AE2,27.864864864864863,83.54596881891413,1332.0,93.03728978191889
AM.RFA80,27.684684684684683,85.3219697047238,1400.0,109.08012508427323
AM.R0CEA,28.234234234234233,83.92201362132175,787.0,46.77074883748054
AM.RE497,27.66666666666667,85.29937557965086,1278.0,108.37718954952597
AM.R43A3,27.97297297297297,83.11902933930249,670.0,128.89922856187542
AM.RD372,27.684684684684683,85.2878533641701,1329.0,106.29976415569458
AM.R20CE,27.64864864864865,85.29237856033401,1348.0,108.9871768872501
AM.R6EC4,27.7027027027027,84.38565253165018,192.0,58.35954658756614
AM.R3005,27.78378378378378,85.2529700262167,1365.0,97.46534398931448
AM.R3DBE,28.38738738738739,81.29130265167653,164.0,305.2507371692921
AM.R6F10,27.684684684684683,85.32972119352813,1321.0,109.7163411661431
AM.R6F2E,27.684684684684683,85.28002256255922,1301.0,105.66630786501965
